RANK,FULL_NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
117,David West,Gol,PF,37,73,13.7,28.5,21.7,0.162,79,0.759,370,0.576,8,0.375,0.575,0.6,6.8,3.3,13.3,1.9,20.5,0.64,1.03,1.1,10.2,113.6,97.5
118,Davis Bertans,San,PF,25,77,14.1,29.4,17.4,0.085,49,0.816,114,0.588,252,0.373,0.568,0.588,5.9,2,7.8,1,10.3,0.34,0.36,0.47,6.5,115.2,99.8
119,Davon Reed,Pho,SG,22,21,11.5,24,16,0.11,12,0.667,38,0.289,38,0.289,0.362,0.388,3,1.9,8.6,0.6,7.6,0.48,0.1,0.48,5.2,79.8,107.9
120,De'Aaron Fox,Sac,PG,20,73,27.7,57.8,23.4,0.164,195,0.723,644,0.436,153,0.307,0.441,0.478,11.6,2.8,5.7,4.4,24.6,0.96,0.27,2.37,7.5,94.6,107.8
121,DeAndre' Bembry,Atl,SF,23,26,17.5,36.5,18.2,0.248,33,0.576,98,0.429,30,0.367,0.457,0.477,5.2,2.8,8.8,1.9,15.9,0.81,0.46,1.81,6.9,83.5,104
122,DeAndre Jordan,Lac,C,29,77,31.5,65.6,15.2,0.161,312,0.58,578,0.645,0,0,0.645,0.648,12,15.2,26.5,1.5,7.1,0.51,0.92,1.78,8.2,125,99.4
123,DeAndre Liggins,Mil,SG,29,31,15.5,32.3,7.5,0.162,5,0.4,29,0.379,36,0.306,0.423,0.424,1.8,1.6,6,0.9,7.2,0.87,0.32,0.42,3.5,88.2,100.2
124,DeAndre Liggins,Nor,SG,29,27,9,18.8,8.5,0.146,0,0,24,0.417,17,0.471,0.537,0.537,1.6,1,5.8,0.8,10.7,0.37,0.15,0.26,4.8,106.6,104.3
125,Dejounte Murray,San,PG,21,81,21.5,44.8,20.7,0.166,148,0.709,575,0.454,34,0.265,0.451,0.485,8.1,5.7,14.6,2.9,20.2,1.2,0.38,1.65,9.5,99.1,95.6
126,Delon Wright,Tor,PG,25,69,20.8,43.3,17.2,0.139,117,0.829,278,0.522,154,0.364,0.53,0.574,8,2.9,7.7,2.9,19.6,1.04,0.48,1.13,7.8,116.2,103.9
127,DeMar DeRozan,Tor,SG,28,80,33.9,70.6,29.6,0.096,559,0.825,1125,0.494,287,0.31,0.488,0.555,23,3.9,6.5,5.2,25,1.06,0.28,2.2,9.2,114.3,105.6
128,DeMarcus Cousins,Nor,C,27,48,36.2,75.4,31.9,0.189,394,0.746,570,0.53,294,0.354,0.53,0.583,25.2,12.9,19.3,5.4,23,1.65,1.58,5.04,13.3,104.5,95.9
129,DeMarre Carroll,Bro,SF,31,73,29.9,62.2,19.8,0.103,246,0.764,394,0.457,391,0.371,0.506,0.55,13.5,6.6,11.7,2,10.5,0.81,0.41,1.41,7.5,109.3,105.3
